sample_id,text,true_label,pred_small,pred_medium,pred_large,confidence_small,confidence_medium,confidence_large,latency_small_ms,latency_medium_ms,latency_large_ms,small_correct,medium_correct,large_correct,all_models_wrong,first_success_model,difficulty_level,estimated_routing_latency_ms
20,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0,0,0,0,0.9773435592651368,0.942120373249054,0.9992031455039978,28.510200034361333,63.486400002148,158.59720000298694,True,True,True,False,small,1,28.510200034361333
21,the iditarod lasts for days - this just felt like it did . ,0,0,0,1,0.9551864862442015,0.9461599588394164,0.9957446455955504,20.991599943954498,44.45489996578544,140.94050001585856,True,True,False,False,small,1,20.991599943954498
22,holden caulfield did it better . ,0,1,1,1,0.990752339363098,0.9942765831947328,0.997793197631836,20.580200012773275,39.83279998647049,116.30400002468376,False,False,False,True,none,0,176.71700002392754
23,"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,1,1,1,0.9998834133148192,0.9997273087501526,0.998798370361328,20.59999998891726,46.74029996385798,136.6406999877654,True,True,True,False,small,1,20.59999998891726
24,seldom has a movie so closely matched the spirit of a man and his work . ,1,1,1,1,0.9965078234672546,0.9986729621887208,0.9988176226615906,21.82719996199012,43.73580001993105,139.87750001251698,True,True,True,False,small,1,21.82719996199012
25,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,0,0,0,0.999647617340088,0.9927692413330078,0.9994937181472778,27.29969995561987,49.81120000593364,154.88019998883829,True,True,True,False,small,1,27.29969995561987
26,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0,0,0,0,0.9980615973472596,0.9901277422904968,0.9994910955429076,24.940200033597648,48.31440001726151,162.75110002607107,True,True,True,False,small,1,24.940200033597648
27,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,1,1,1,0.9996742010116576,0.9996067881584167,0.998914361000061,22.42120000300929,49.62809995049611,143.02380004664883,True,True,True,False,small,1,22.42120000300929
28,"it 's a cookie-cutter movie , a cut-and-paste job . ",0,0,0,0,0.9915094375610352,0.9971600770950316,0.9994863271713256,21.50700002675876,47.401699994225055,138.49919999483973,True,True,True,False,small,1,21.50700002675876
29,i had to look away - this was god awful . ,0,0,0,0,0.9970059990882874,0.9953385591506958,0.999492049217224,18.908700032625347,46.40120000112802,129.94529999559745,True,True,True,False,small,1,18.908700032625347
30,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,1,1,1,0.9998767375946044,0.9996544122695924,0.9988216757774352,27.1354999858886,53.049700043629855,173.1656999909319,True,True,True,False,small,1,27.1354999858886
31,"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0,0,0,0,0.9966211318969728,0.9957776069641112,0.9995086193084716,26.22589998645708,49.76929997792468,156.2516000121832,True,True,True,False,small,1,26.22589998645708
32,"a gorgeous , witty , seductive movie . ",1,1,1,1,0.9998878240585328,0.9997864365577698,0.9988792538642884,18.849699990823865,38.71809999691322,123.8026000210084,True,True,True,False,small,1,18.849699990823865
33,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0,0,0,0,0.9486181139945984,0.996306300163269,0.9979605674743652,26.1737999971956,60.47759996727109,153.96259998669848,True,True,True,False,small,1,26.1737999971956
34,"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ",0,0,0,0,0.9998156428337096,0.999226689338684,0.9994813799858092,20.65040002344176,55.66860001999885,141.6231000330299,True,True,True,False,small,1,20.65040002344176
35,a sequence of ridiculous shoot - 'em - up scenes . ,0,0,0,0,0.9997166991233826,0.9986947178840636,0.9994706511497498,17.856799997389317,49.63690001750365,128.46569996327162,True,True,True,False,small,1,17.856799997389317
36,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",1,1,1,1,0.999129831790924,0.998173713684082,0.9988686442375184,23.214399989228696,63.291800033766776,165.70740001043305,True,True,True,False,small,1,23.214399989228696
37,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0,0,0,0,0.9870452284812928,0.9941911101341248,0.9947988986968994,23.659300000872463,66.53669994557276,165.02119996584952,True,True,True,False,small,1,23.659300000872463
38,"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ",1,1,1,1,0.9991269707679749,0.9993898868560792,0.9985162615776062,19.97209998080507,56.73660000320524,166.692900005728,True,True,True,False,small,1,19.97209998080507
39,"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",1,1,1,1,0.9997716546058656,0.9995263814926147,0.998866319656372,21.66770002804697,48.96389995701611,139.23160004196689,True,True,True,False,small,1,21.66770002804697
40,"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ",1,1,1,1,0.9998881816864014,0.9997580647468568,0.9987810254096984,23.33789999829605,51.62539996672422,163.49150001769885,True,True,True,False,small,1,23.33789999829605
41,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ",1,1,1,1,0.9996800422668456,0.9994358420372008,0.9989251494407654,24.70459998585284,50.89419998694211,158.91469997586682,True,True,True,False,small,1,24.70459998585284
42,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,1,1,1,1,0.9997768998146056,0.9993985891342164,0.9988790154457092,23.302300018258396,55.587699986062944,147.0361000392586,True,True,True,False,small,1,23.302300018258396
43,holm ... embodies the character with an effortlessly regal charisma . ,1,1,1,1,0.9998315572738647,0.9996044039726256,0.9988542795181274,21.138900017831475,50.14690000098199,129.01450000936163,True,True,True,False,small,1,21.138900017831475
44,"the title not only describes its main characters , but the lazy people behind the camera as well . ",0,0,0,0,0.9955686926841736,0.9864630103111268,0.9987258315086364,20.310600055381656,52.29449999751523,144.19710001675412,True,True,True,False,small,1,20.310600055381656
45,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,0,0,0,0,0.9972707629203796,0.8897143602371216,0.999504804611206,19.29459994425997,51.99740000534803,126.4132999931462,True,True,True,False,small,1,19.29459994425997
46,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,0,0,1,0,0.9600977301597596,0.695872962474823,0.9994781613349916,25.253099971450865,54.317899979650974,157.51829999499023,True,False,True,False,small,1,25.253099971450865
47,a subtle and well-crafted ( for the most part ) chiller . ,1,1,1,1,0.999863624572754,0.9996150732040404,0.9988968372344972,21.642199950292703,50.61929998919368,127.79399997089058,True,True,True,False,small,1,21.642199950292703
48,has a lot of the virtues of eastwood at his best . ,1,1,1,1,0.9998326301574708,0.9997004270553588,0.9985727071762084,20.26429999386892,45.94300000462681,128.68329999037087,True,True,True,False,small,1,20.26429999386892
49,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0,0,0,0,0.9997772574424744,0.9991567134857178,0.9994909763336182,20.63129999442026,56.877099967096,139.90099995862693,True,True,True,False,small,1,20.63129999442026
50,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0,0,0,0,0.9992080330848694,0.998465895652771,0.99950110912323,21.86699997400865,63.43840004410595,176.81780003476888,True,True,True,False,small,1,21.86699997400865
51,"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ",1,1,1,1,0.9998251795768738,0.9996522665023804,0.998866081237793,26.853699993807822,63.80730000091717,168.88000001199543,True,True,True,False,small,1,26.853699993807822
52,"mr. tsai is a very original artist in his medium , and what time is it there ? ",1,1,1,1,0.998622179031372,0.9798192381858826,0.9988285899162292,23.497800051700324,66.09300000127405,149.43360001780093,True,True,True,False,small,1,23.497800051700324
53,sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,1,1,1,1,0.9997410178184508,0.9990436434745787,0.9988585710525512,22.0421000267379,59.753999987151474,133.4144999855198,True,True,True,False,small,1,22.0421000267379
54,so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,0,0,0,0,0.9991016387939452,0.99789559841156,0.9995037317276,22.359199996571988,62.51710001379252,152.71609998308122,True,True,True,False,small,1,22.359199996571988
55,"a tender , heartfelt family drama . ",1,1,1,1,0.9998681545257568,0.9997230172157288,0.9988694787025452,17.932499991729856,46.83299997122958,109.56210002768783,True,True,True,False,small,1,17.932499991729856
56,... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,0,0,0,0,0.9996685981750488,0.9985021352767944,0.9994884729385376,25.38270002696663,60.89290004456416,150.29319998575374,True,True,True,False,small,1,25.38270002696663
57,the cold turkey would 've been a far better title . ,0,0,0,0,0.9973347783088684,0.9870137572288512,0.9983928799629213,19.633200019598007,48.6242999904789,138.57830001506954,True,True,True,False,small,1,19.633200019598007
58,manages to be both repulsively sadistic and mundane . ,0,0,1,1,0.998120367527008,0.6928972005844116,0.9795103669166564,19.71099997172132,47.65289998613298,130.48870000056922,True,False,False,False,small,1,19.71099997172132
59,"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",0,0,0,0,0.8743259310722351,0.997821807861328,0.9995120763778688,25.816200010012835,61.56439997721464,152.74679998401552,True,True,True,False,small,1,25.816200010012835
60,"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ",1,1,1,1,0.9998378753662108,0.9997064471244812,0.9988138675689696,23.688999994192272,59.18869999004528,133.04990000324324,True,True,True,False,small,1,23.688999994192272
61,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",0,0,0,0,0.9996771812438964,0.9988254904747008,0.9995027780532836,31.528200022876263,61.41960003878921,164.8628999828361,True,True,True,False,small,1,31.528200022876263
62,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ,1,1,1,0,0.9894514679908752,0.9855062961578368,0.9983709454536438,24.01809999719262,53.05370001588017,142.28720002574846,True,True,False,False,small,1,24.01809999719262
63,"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ",1,1,1,1,0.9997650980949402,0.9995843768119812,0.9988961219787598,21.639199985656887,62.607400002889335,143.2230999926105,True,True,True,False,small,1,21.639199985656887
64,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ",0,1,0,0,0.857642650604248,0.9899272918701172,0.9994547963142396,20.56319999974221,53.93590003950521,146.95830002892762,False,True,True,False,medium,2,74.49910003924742
65,you wonder why enough was n't just a music video rather than a full-length movie . ,0,0,0,0,0.9982241988182068,0.996185839176178,0.9965655207633972,22.697400010656565,57.36059998162091,139.47759999427944,True,True,True,False,small,1,22.697400010656565
66,"if you 're hard up for raunchy college humor , this is your ticket right here . ",1,1,1,1,0.8316611051559448,0.9935152530670166,0.9985777139663696,23.34830001927912,55.29769998975098,137.9890000098385,True,True,True,False,small,1,23.34830001927912
67,"a fast , funny , highly enjoyable movie . ",1,1,1,1,0.99989116191864,0.9997653365135192,0.9989100694656372,22.88780000526458,42.71060001337901,121.69739999808372,True,True,True,False,small,1,22.88780000526458
68,good old-fashioned slash-and-hack is back ! ,1,1,1,0,0.9981695413589478,0.972481608390808,0.8867313265800476,20.05809999536723,45.82589998608455,123.56869998620824,True,True,False,False,small,1,20.05809999536723
69,"this one is definitely one to skip , even for horror movie fanatics . ",0,0,1,0,0.8616237044334412,0.9507729411125184,0.9994950294494628,19.864599977154285,46.52279999572784,132.5127999880351,True,False,True,False,small,1,19.864599977154285
70,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0,0,0,0,0.995840072631836,0.993372082710266,0.9990314245224,24.317300005350265,57.51119996421039,183.0018000327982,True,True,True,False,small,1,24.317300005350265
71,"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ",1,1,1,1,0.9998536109924316,0.9996790885925292,0.9989135265350342,25.37809999193996,50.69559998810291,160.15609999885783,True,True,True,False,small,1,25.37809999193996
72,uses high comedy to evoke surprising poignance . ,1,1,1,1,0.9996333122253418,0.9995166063308716,0.9988484382629396,19.679700024425983,39.23980001127347,127.38469999749212,True,True,True,False,small,1,19.679700024425983
73,"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . ",1,1,1,1,0.9746877551078796,0.993892788887024,0.9986780285835266,22.909099992830303,54.53789996681735,149.38570000231266,True,True,True,False,small,1,22.909099992830303
74,a string of rehashed sight gags based in insipid vulgarity . ,0,0,0,0,0.9995115995407104,0.9989175796508788,0.9994864463806152,19.729999999981374,46.15160002140328,129.62580000748858,True,True,True,False,small,1,19.729999999981374
75,among the year 's most intriguing explorations of alientation . ,1,1,1,1,0.9998138546943665,0.999538779258728,0.9986767172813416,18.743299995549023,50.39849999593571,128.26379999751225,True,True,True,False,small,1,18.743299995549023
76,the movie fails to live up to the sum of its parts . ,0,0,0,0,0.9997559189796448,0.9989385008811952,0.999495267868042,18.790000001899894,47.0672000083141,132.31489999452606,True,True,True,False,small,1,18.790000001899894
77,the son 's room is a triumph of gentility that earns its moments of pathos . ,1,1,1,1,0.99980491399765,0.9991436004638672,0.9988202452659608,24.288700020406395,52.92980000376701,139.012300001923,True,True,True,False,small,1,24.288700020406395
78,"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",1,1,1,1,0.9998239874839784,0.9976933598518372,0.99853515625,23.592499957885597,55.05810002796352,163.2979999994859,True,True,True,False,small,1,23.592499957885597
79,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,0,0,0,0,0.9996278285980223,0.9989758729934692,0.9994993209838868,23.80019996780902,66.95730000501499,188.81949997739864,True,True,True,False,small,1,23.80019996780902
80,the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,1,1,1,1,0.9998527765274048,0.9996060729026794,0.9988000392913818,18.724300025496632,55.22379995090887,154.9337999895215,True,True,True,False,small,1,18.724300025496632
81,"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ",0,0,0,0,0.9996427297592164,0.9946624636650084,0.9910022616386414,20.160699961707,57.92339995969087,133.06069996906444,True,True,True,False,small,1,20.160699961707
82,it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,0,0,0,0,0.9215107560157776,0.9901156425476074,0.995509147644043,21.69190003769472,58.75849997391924,143.29999999608845,True,True,True,False,small,1,21.69190003769472
83,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",1,1,1,1,0.903022825717926,0.7832619547843933,0.9987494945526124,24.462400004267693,56.65440001757816,159.3940999591723,True,True,True,False,small,1,24.462400004267693
84,"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ",1,1,1,1,0.9997909665107728,0.9990185499191284,0.9988032579421996,21.7615999863483,57.20470001688227,139.99589998275042,True,True,True,False,small,1,21.7615999863483
85,the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ,1,1,1,1,0.999524474143982,0.9989364743232728,0.9984551668167114,22.16819999739528,51.71649996191263,144.9508999940008,True,True,True,False,small,1,22.16819999739528
86,"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",0,0,0,0,0.9996635913848876,0.9976723790168762,0.9995037317276,23.229299986269325,53.05129999760538,150.67120001185685,True,True,True,False,small,1,23.229299986269325
87,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,1,0,1,0,0.996091902256012,0.8080641627311707,0.9975050091743468,27.05249999416992,53.21869999170303,140.2824000106193,False,True,False,False,medium,2,80.27119998587295
88,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,1,1,1,1,0.998043179512024,0.9943974018096924,0.9986945986747742,27.75070001371205,58.30689996946603,165.3027000138536,True,True,True,False,small,1,27.75070001371205
89,"we know the plot 's a little crazy , but it held my interest from start to finish . ",1,1,1,1,0.9974119067192078,0.9981043338775636,0.99887353181839,20.214100019074976,48.19220001809299,136.45530003122985,True,True,True,False,small,1,20.214100019074976
90,"it 's a scattershot affair , but when it hits its mark it 's brilliant . ",1,1,1,1,0.9997256398200988,0.9992903470993042,0.9981972575187684,19.433700013905764,48.52500004926696,143.65550002548844,True,True,True,False,small,1,19.433700013905764
91,"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . ",1,1,1,1,0.999817192554474,0.99959796667099,0.9988104104995728,21.28790004644543,45.08830001577735,127.00759997824208,True,True,True,False,small,1,21.28790004644543
92,"you wo n't like roger , but you will quickly recognize him . ",0,1,1,1,0.998519480228424,0.9957116842269896,0.998680055141449,20.7638000138104,42.50879999017343,122.25979997310787,False,False,False,True,none,0,185.5323999770917
93,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,1,0,0,0,0.9993919134140016,0.5858816504478455,0.9974988102912904,22.33639999758452,50.25959998602048,126.8133000121452,False,False,False,True,none,0,199.4092999957502
94,"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ",1,1,1,1,0.9997764229774476,0.9995173215866088,0.9989216327667236,23.022999987006187,57.12579999817535,155.2051999606192,True,True,True,False,small,1,23.022999987006187
95,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,0,1,1,1,0.9993116855621338,0.9990955591201782,0.9988945126533508,21.462100034113973,55.46840000897646,138.9303999603726,False,False,False,True,none,0,215.86090000346303
96,"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",0,0,0,0,0.9975787997245787,0.9885514974594116,0.9967273473739624,24.59929999895394,52.14609997346997,156.5104000037536,True,True,True,False,small,1,24.59929999895394
97,"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ",1,1,1,1,0.9947522878646852,0.9989120960235596,0.9988887906074524,23.831400030758232,49.803300003986806,154.0895999642089,True,True,True,False,small,1,23.831400030758232
98,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ",0,0,0,0,0.999817192554474,0.9991905093193054,0.9995071887969972,22.715000028256327,48.87539998162538,146.8678999808617,True,True,True,False,small,1,22.715000028256327
99,why make a documentary about these marginal historical figures ? ,0,0,0,0,0.9974779486656188,0.9954784512519836,0.9994750618934632,16.292300017084926,46.86080000828952,120.71590003324673,True,True,True,False,small,1,16.292300017084926
100,"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . ",1,1,1,1,0.9998075366020204,0.9994832277297974,0.9988716244697572,19.30089999223128,54.27030002465472,139.7002000012435,True,True,True,False,small,1,19.30089999223128
101,"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",0,0,0,0,0.9975209832191468,0.9984999895095824,0.9995110034942628,20.067800011020157,48.06489998009056,133.87079996755347,True,True,True,False,small,1,20.067800011020157
102,"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters ",1,1,1,0,0.9876548647880554,0.893273115158081,0.9994840621948242,22.715000028256327,51.624200015794486,131.95539999287575,True,True,False,False,small,1,22.715000028256327
103,"a gripping movie , played with performances that are all understated and touching . ",1,1,1,1,0.999869465827942,0.9997826218605042,0.9988131523132324,20.88919997913763,46.40589997870848,143.7218999490142,True,True,True,False,small,1,20.88919997913763
104,"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ",1,1,1,1,0.9983878135681152,0.995020627975464,0.9986635446548462,31.47600003285333,70.57869998971,234.37610000837597,True,True,True,False,small,1,31.47600003285333
105,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ",0,0,0,0,0.9839488863945008,0.9919712543487548,0.9989758729934692,24.244499974884093,52.3611000389792,214.17599997948852,True,True,True,False,small,1,24.244499974884093
106,the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . ,1,1,1,1,0.999509572982788,0.9994964599609376,0.9988923668861388,19.79839999694377,49.391500011552125,186.8170999805443,True,True,True,False,small,1,19.79839999694377
107,what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,0,1,0,0,0.9410336017608644,0.9986149072647096,0.9995062351226808,24.38650000840425,50.6158999633044,195.9906999836676,False,True,True,False,medium,2,75.00239997170866
108,"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ",0,0,0,0,0.9948334693908693,0.9957380294799804,0.9994495511054992,25.21530003286898,47.39510000217706,227.42579999612644,True,True,True,False,small,1,25.21530003286898
109,it 's great escapist fun that recreates a place and time that will never happen again . ,1,1,1,1,0.9998679161071776,0.9997307658195496,0.9988908171653748,23.784399963915348,49.70319999847561,184.4319999800064,True,True,True,False,small,1,23.784399963915348
110,"scores no points for originality , wit , or intelligence . ",0,0,0,0,0.999683141708374,0.9971875548362732,0.99947589635849,18.52599997073412,41.2097999942489,169.1770000034012,True,True,True,False,small,1,18.52599997073412
111,"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ",0,0,0,0,0.9991746544837952,0.9934871196746826,0.9995050430297852,19.03530000708997,46.77870002342388,149.1305999807082,True,True,True,False,small,1,19.03530000708997
112,hilariously inept and ridiculous . ,1,1,0,0,0.9824228286743164,0.9969820380210876,0.9982982277870178,20.02659998834133,38.574500009417534,135.12200000695884,True,False,False,False,small,1,20.02659998834133
113,this movie is maddening . ,0,0,0,0,0.9997883439064026,0.9991812109947203,0.9994906187057496,17.487999983131886,38.61260000849143,120.51030003931372,True,True,True,False,small,1,17.487999983131886
114,"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ",1,1,1,1,0.9997478127479552,0.9997193217277528,0.9988917708396912,28.228100039996207,57.09070002194494,169.80730002978817,True,True,True,False,small,1,28.228100039996207
115,sam mendes has become valedictorian at the school for soft landings and easy ways out . ,0,1,1,1,0.9968371391296388,0.9795149564743042,0.9954273700714112,21.299200016073883,44.42009999183938,143.633600033354,False,False,False,True,none,0,209.35290004126728
116,one of the smartest takes on singles culture i 've seen in a long time . ,1,1,1,1,0.9998302459716796,0.9995786547660828,0.9988412261009216,20.07789997151121,45.28059996664524,134.56129998667166,True,True,True,False,small,1,20.07789997151121
117,"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ",1,1,1,1,0.999750792980194,0.9996602535247804,0.9988771080970764,20.924899959936734,58.73859999701381,174.06460002530366,True,True,True,False,small,1,20.924899959936734
118,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,0,1,1,0,0.9873793125152588,0.9964358806610109,0.9992600083351136,19.72909999312833,49.77299994789064,152.60309999575838,False,False,True,False,large,3,222.10519993677735
